name,city,address,lat,lon,category,description
국립 회문산자연휴양림,전북 순창군,전라북도 순창군 구림면 안심길 249,35.4989182,127.1181029,관광지,
용담호,전북 진안군,전라북도 진안군 안천면 안용로 747,35.9451629,127.5285936,관광지,
부찌,전북 고창군,전라북도 고창군 고창읍 성산2길 15,35.4360558,126.6974299,관광지,
두동편백나무숲,전북 익산시,전라북도 익산시 성당면 두동길 15,36.1037307,126.9214085,관광지,
메이드호텔[한국관광 품질인증/Korea Quality],전북 남원시,전라북도 남원시 소리길 110,35.4054556,127.3886668,관광지,
무주 지전마을 옛 담장,전북 무주군,전라북도 무주군 설천면,36.0081479,127.7896811,관광지,
지리산 반야봉,전북 남원시,전라북도 남원시 산내면,35.4191955,127.6232065,관광지,
마이산 타포니지형,전북 진안군,전라북도 진안군 진안읍 마이산로 255,35.7663331,127.4151117,관광지,
우항리 공룡화석 자연사유적지,전남 해남군,전라남도 해남군 황산면 공룡박물관길 234,34.589965,126.4368019,관광지,
농업기술센터 자연생태학습장,전남 구례군,전라남도 구례군 구례읍 동산1길 32,35.1967797,127.4603848,관광지,
가마골생태공원,전남 담양군,전라남도 담양군 용면 용소길 261,35.4450376,127.0227788,관광지,
금당도,전남 완도군,전라남도 완도군 금당면 금당로 50-1,34.4299155,127.0713034,관광지,
가마골계곡,전남 담양군,전라남도 담양군 용면 용소길 261,35.4450376,127.0227788,관광지,
태평염생식물원,전남 신안군,전남 신안군 증도면 증동리,35.0063567,126.150116,관광지,
암태도,전남 신안군,전라남도 신안군 암태면 장단고길 7-63,34.8267592,126.1123451,관광지,
여수 낭도리 공룡발자국화석 산지,전남 여수시,전라남도 여수시 화정면,34.6209539,127.6394242,관광지,
금릉경포대,전남 강진군,전라남도 강진군 성전면 백운로 148-9,34.7461782,126.7086779,관광지,
안도해변,전남 여수시,전라남도 여수시 남면,34.5094653,127.766585,관광지,
바다풍경횟집,제주 제주시,제주특별자치도 제주시 서해안로 654,33.5110314,126.4802212,관광지,
바다잔치,제주 제주시,제주특별자치도 제주시 탑동로 79,33.5177224,126.5168965,관광지,
제주뚝배기,제주 서귀포시,제주특별자치도 서귀포시 성산읍 일출로 255,33.4611374,126.9330294,관광지,
제주오션팰리스호텔,제주 서귀포시,제주특별자치도 서귀포시 중앙로 14,33.2546252,126.5593313,관광지,
롯데호텔 제주,제주 서귀포시,제주특별자치도 서귀포시 중문관광로72번길 35,33.2485349,126.4103936,관광지,
지화자,서울 종로구,서울특별시 종로구 자하문로 125,37.5870598,126.9693777,관광지,
온마을,서울 종로구,서울특별시 종로구 삼청로 127,37.5866372,126.9815224,관광지,
전주식당,서울 종로구,서울특별시 종로구 수표로20길 16-17,37.5698568,126.9911251,관광지,
계림식당,서울 종로구,서울특별시 종로구 돈화문로4길 39,37.5701315,126.9944914,관광지,
오우가,서울 중구,서울특별시 중구 명동8가길 42,37.5616542,126.9873839,관광지,
한일장,서울 종로구,서울특별시 종로구 수표로 94,37.569511,126.9896729,관광지,
감미옥(구 대성옥),서울 종로구,서울특별시 종로구 종로 166-1,37.5703768,126.9961023,관광지,
금용문,서울 종로구,"서울특별시 종로구 새문안로5가길 7, 2층",37.5727405,126.9740251,관광지,
서문회관,서울 중구,서울특별시 중구 세종대로11길 47,37.561875,126.9733037,관광지,
연타발 삼성코엑스,서울 강남구,서울특별시 강남구 테헤란로87길 35,37.5099243,127.0577035,관광지,
브라운도트 민락점,부산 수영구,부산광역시 수영구 광안해변로278번길 42,35.1539709,129.1245349,관광지,
송정해수욕장,부산 해운대구,부산광역시 해운대구 송정해변로 62,35.1794693,129.1995796,관광지,
국립 달음산자연휴양림,부산 기장군,부산광역시 기장군 일광면 화용길 299-106,35.2915705,129.2046756,관광지,
동아대학교 석당박물관(부산),부산 서구,부산광역시 서구 구덕로 225,35.1042116,129.0191299,관광지,
